latitude,longitude,datetime,value
24.538595,118.132115,20-Sep-2016,0.603551
24.538595,118.132115,20-Sep-2016 23:30:00,11.247111
24.538595,118.132115,21-Sep-2016,21.983339
24.538595,118.132115,22-Sep-2016 23:30:00,17.773309
24.538595,118.132115,23-Sep-2016,22.601048
24.538595,118.132115,25-Sep-2016 23:00:00,12.373448
24.538595,118.132115,29-Sep-2016 21:00:00,0.611768
24.538595,118.132115,30-Sep-2016,7.164411
24.538595,118.139000,21-Sep-2016 15:00:00,0.167071
24.538595,118.139000,21-Sep-2016 15:30:00,0.436963
24.538595,118.139000,22-Sep-2016 15:00:00,1.026409
24.538595,118.139984,22-Sep-2016 11:00:00,1.328727
24.538595,118.146868,21-Sep-2016 17:00:00,0.523920
24.538595,118.158671,08-Sep-2016 09:30:00,0.521743
24.537698,118.101626,23-Sep-2016 20:00:00,0.660441
24.537698,118.127198,05-Sep-2016 12:00:00,2.214220
24.537698,118.128181,09-Sep-2016 11:30:00,20.906732
24.537698,118.133099,22-Sep-2016 23:30:00,3.536741
24.537698,118.133099,30-Sep-2016,8.934154
24.537698,118.137033,22-Sep-2016 09:00:00,8.791729
24.537698,118.137033,22-Sep-2016 17:30:00,2.094487
24.537698,118.138016,22-Sep-2016 08:30:00,6.191457
24.537698,118.138016,22-Sep-2016 09:00:00,2.049432
24.537698,118.146868,23-Sep-2016 18:00:00,0.530232
24.536800,118.114412,16-Sep-2016 12:00:00,0.684682
24.536800,118.134082,17-Sep-2016 19:30:00,0.961733
24.536800,118.135066,15-Sep-2016 19:00:00,3.792660
24.536800,118.135066,17-Sep-2016 19:30:00,11.325805
24.536800,118.135066,17-Sep-2016 20:00:00,10.028072
24.536800,118.136049,22-Sep-2016 09:30:00,8.018651
24.535903,118.114412,14-Sep-2016 07:00:00,2.052333
24.535903,118.134082,22-Sep-2016 09:30:00,2.262883
24.535903,118.147852,22-Sep-2016 17:30:00,4.426464
24.535903,118.147852,22-Sep-2016 18:00:00,3.133220
24.535903,118.147852,23-Sep-2016 17:30:00,6.519565
